is Send = 0 
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 7
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 8
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 9
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 10
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 11
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 12
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 13
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 14
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 15
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 16
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 17
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 18
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 19
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 20
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 21
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 22
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 23
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 24
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 25
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 26
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 27
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 28
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 29
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 30
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 31
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 32
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 33
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 34
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 35
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 36
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 37
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 38
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 39
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 40
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 41
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 42
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 43
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 44
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 45
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 46
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 47
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 48
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 49
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 50
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 51
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 52
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 53
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 54
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 55
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 56
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 57
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 58
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 59
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 60
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 61
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 62
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 63
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 64
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 65
Time while receiving 66
Time while receiving 66
Time while receiving 66
